"","x"
"1","7/21/09"
"2","7/23/09"
"3","7/28/09"
"4","7/30/09"
"5","8/4/09"
"6","8/10/09"
"7","7/15/10"
"8","7/22/10"
"9","7/29/10"
"10","8/4/10"
"11","8/2/11"
"12","7/12/12"
"13","7/15/12"
"14","7/17/12"
"15","7/24/12"
"16","8/7/12"
"17","7/3/13"
"18","7/23/13"
"19","7/30/13"
"20","8/6/13"
"21","8/13/13"
"22","8/20/13"
"23","7/17/14"
"24","7/24/14"
"25","7/31/14"
"26","8/7/14"
"27","8/14/14"
"28","8/21/14"
"29","3/10/15"
"30","7/14/15"
"31","7/23/15"
"32","7/28/15"
"33","8/6/15"
"34","8/11/15"
"35","8/18/15"
"36","12/3/15"
"37","1/22/16"
"38","3/29/16"
"39","4/21/16"
"40","7/19/16"
"41","7/26/16"
"42","8/2/16"
"43","8/9/16"
"44","8/16/16"
"45","8/23/16"
"46","4/17/17"
"47","7/25/17"
"48","8/1/17"
"49","8/8/17"
"50","8/14/17"
"51","8/22/17"
"52","8/27/17"
"53","1/18/18"
"54","2/27/18"
"55","3/27/18"
"56","7/3/18"
"57","7/10/18"
"58","7/17/18"
"59","7/24/18"
"60","7/31/18"
"61","8/7/18"
"62","8/24/18"
"63","12/14/18"
"64","2/4/19"
"65","3/26/19"
"66","4/24/19"
"67","7/23/19"
"68","7/30/19"
"69","8/6/19"
"70","8/13/19"
"71","8/20/19"
